id,name,edition,set,price,seller,items_sold_by_seller,image,language,condition
1219211748,Charizard (BS 4),First Edition,,175.0,DrAcula42,4,https://specimens.s3.filebase.com/1219211748.jpg,German,Poor
1163133981,Charizard (BS 4),First Edition,,249.0,Misterbale,30,,German,Poor
1233270114,Charizard (BS 4),First Edition,,249.99,RoKe-526,1,https://specimens.s3.filebase.com/1233270114.jpg,German,Poor
1013833869,Charizard (BS 4),First Edition,,295.0,Sabcard,46,https://specimens.s3.filebase.com/1013833869.jpg,German,Poor
1168348771,Charizard (BS 4),First Edition,,299.0,LordofGore,8000,https://specimens.s3.filebase.com/1168348771.jpg,German,Poor
1210257251,Charizard (BS 4),First Edition,,319.0,Alexxx-TCG,2000,https://specimens.s3.filebase.com/1210257251.jpg,German,Poor
1139217658,Charizard (BS 4),First Edition,,399.0,adrian19881126,268,https://specimens.s3.filebase.com/1139217658.jpg,German,Played
1192776989,Charizard (BS 4),First Edition,,490.0,Jellos,148,,German,Light Played
1216342732,Charizard (BS 4),First Edition,,575.0,SpielRaum,34000,https://specimens.s3.filebase.com/1216342732.jpg,German,Poor
1229414268,Charizard (BS 4),First Edition,,575.0,SpielRaum,34000,https://specimens.s3.filebase.com/1229414268.jpg,German,Poor
1123329048,Charizard (BS 4),First Edition,,650.0,ShoxcHB,0,https://specimens.s3.filebase.com/1123329048.jpg,German,Played
1230884670,Charizard (BS 4),First Edition,,699.99,GamersTrading,139,,German,Light Played
1046377340,Charizard (BS 4),First Edition,,700.0,Graph1x,3,https://specimens.s3.filebase.com/1046377340.jpg,German,Poor
1119525747,Charizard (BS 4),First Edition,,748.0,Paradoxon,11,https://specimens.s3.filebase.com/1119525747.jpg,German,Light Played
1120358822,Charizard (BS 4),First Edition,,749.0,MrTwain,613,https://specimens.s3.filebase.com/1120358822.jpg,German,Light Played
1060139545,Charizard (BS 4),First Edition,,750.0,PokeM1s1,1000,,German,Light Played
1216342382,Charizard (BS 4),First Edition,,775.0,SpielRaum,34000,https://specimens.s3.filebase.com/1216342382.jpg,German,Played
1215698190,Charizard (BS 4),First Edition,,785.0,Yannikkunz,0,https://specimens.s3.filebase.com/1215698190.jpg,German,Good
1235807100,Charizard (BS 4),First Edition,,799.0,ElDarkKnight,1,https://specimens.s3.filebase.com/1235807100.jpg,German,Near Mint
1230636909,Charizard (BS 4),First Edition,,898.99,ferci777,2000,https://specimens.s3.filebase.com/1230636909.jpg,German,Excellent
1230715658,Charizard (BS 4),First Edition,,899.0,tiescher,2,,German,Excellent
1233803105,Charizard (BS 4),First Edition,,899.99,timo145,565,https://specimens.s3.filebase.com/1233803105.jpg,German,Excellent
